ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202407,2024,7,83047.832,50529.911,27162.357,4671.845,8283.231
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202408,2024,8,83047.832,51925.458,31760.718,4598.361,1395.547
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202409,2024,9,83047.832,56594.249,38039.979,6279.261,4668.791
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202410,2024,10,83047.832,61140.257,42383.708,4343.73,4546.008
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202411,2024,11,83047.832,68427.677,47519.739,5136.03,7287.42
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202412,2024,12,83047.832,83044.104,52931.963,5412.225,14616.427
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202501,2025,1,94544.731,30394.895,1131.077,1131.077,30394.895
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202502,2025,2,94544.731,33678.88,4835.026,3703.948,3283.985
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202503,2025,3,86197.275,39068.344,6840.061,2005.035,5389.464
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202504,2025,4,86197.275,44865.147,9630.879,2790.818,5796.803
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202505,2025,5,90390.675,46883.426,16493.081,6862.202,2018.279
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202506,2025,6,90390.675,51343.657,24441.074,7947.993,4460.231
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202507,2025,7,90390.675,52953.224,27976.593,3535.519,1609.567
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202508,2025,8,90390.675,57970.228,37154.665,9178.072,5017.004
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202509,2025,9,92121.792,59758.486,41881.329,4726.664,1788.258
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202510,2025,10,92121.792,61797.883,44842.39,2961.061,2039.397
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202511,2025,11,92121.792,72340.491,47387.305,2544.915,10542.608
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202512,2025,12,90292.818,89012.263,53760.102,6372.796,16671.772
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202601,2026,1,96584.51,47972.486,1044.696,1044.696,47972.486
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202602,2026,2,96584.51,50125.875,3970.014,2925.318,2153.389
