cod_localidad,localidad,anio,mes,ValorVigente,ValorCompromiso,ValorGiros,giro_mes,compromiso_mes
3,Santa Fe,2025,4,98001.031,41200.846461,10517.471226,1346.9608989999997,870.4041030000008
3,Santa Fe,2025,5,91952.44861400001,43030.215874,12239.100833,1721.6296070000008,1829.3694130000003
3,Santa Fe,2025,6,98077.848471,48351.470474,18045.974558,5806.873725000001,5321.2546
3,Santa Fe,2025,7,98077.848471,50668.096774,20467.560115,2421.5855569999985,2316.6262999999963
3,Santa Fe,2025,8,99889.33264800001,62081.998431,34713.835579,14246.275463999998,11413.901657000002
3,Santa Fe,2025,9,99889.33264800001,62646.875988,36997.233991,2283.3984120000023,564.8775569999998
3,Santa Fe,2025,10,99889.33264800001,64338.75067,38812.254337,1815.0203459999975,1691.8746820000015
3,Santa Fe,2025,11,99648.381291,82210.214603,41253.381,2441.1266630000027,17871.463933
3,Santa Fe,2025,12,97973.264648,97920.927493,47550.704606,6297.323605999998,15710.712889999995
3,Santa Fe,2026,1,112781.833,62887.640587,1420.384532,1420.384532,62887.640587
3,Santa Fe,2026,2,112781.833,67240.20748699999,5945.9786540000005,4525.594122,4352.566899999991
3,Santa Fe,2026,3,112781.833,67342.920693,8270.799527,2324.8208729999988,102.71320600000035
3,Santa Fe,2026,4,107759.692887,66455.055112,13058.689104,4787.889577,-887.8655809999909
3,Santa Fe,2026,5,107759.692887,66269.28421700001,16623.594485,3564.9053810000023,-185.7708949999942
