CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo,CodigoBPIN,mes_ponderado,pct_valor_Q4,n_contratos,grupo
7958,Instituto para la Economía Social,APROVECHAMIENTO DEL ESPACIO PÚBLICO DONDE CONVERGE LA POBL,2,14100.55,18.927027187895916,29.30821847374748,0,-24.77160294909039,2024110010035,5.538615295907856,20.121777772131836,228.0,<25% en Q4
7959,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DE LA SOSTENIBILIDAD ECONÓMICA DEL SECTOR ,6,39062.12,19.559017692600307,27.38461199750551,0,-24.139612444386,2024110010144,5.471360245533567,0.7646337732765196,50.0,<25% en Q4
7961,Secretaría Distrital de Ambiente,FORTALECIMIENTO DE LA APROPIACIÓN SOCIAL DEL CONOCIMIENTO ,4,36252.76,19.91651435611385,24.20279173227087,0,-23.78211578087245,2024110010032,3.927541260859865,17.394822262591763,174.0,<25% en Q4
7962,Instituto Distrital de las Artes,CONSOLIDACIÓN DE PROCESOS DESDE LAS ARTES QUE APORTEN AL D,3,28179.77,16.610978968746497,24.34689850201049,0,-27.087651168239805,2024110010064,2.776820883957937,0.4848559717974536,300.0,<25% en Q4
7963,Instituto Distrital del Patrimonio Cultural,DESARROLLO DE INSTRUMENTOS DE PLANEACIÓN Y GESTIÓN TERRITO,2,9293.51,24.622663450085064,21.853207238169432,0,-19.07596668690124,2024110010098,3.987532436072414,5.81790041617587,62.0,<25% en Q4
7965,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DEL FOMENTO PARA EL DESARROLLO DE PROCESOS,6,121933.94,23.793807498033036,24.42128910129534,0,-19.90482263895327,2024110010152,5.145427050501901,1.2569261715928415,119.0,<25% en Q4
7970,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DEL ACCESO A LA CULTURA ESCRITA DE LOS HAB,3,168740.69999999998,19.47315295859268,23.28220162651927,1,-24.22547717839362,2024110010082,2.575092332252575,2.712720037753161,28.0,<25% en Q4
7971,Departamento Administrativo del Servicio Civil Distrital,DESARROLLO DE CAPACIDADES PARA UNA GESTIÓN INNOVADORA E IN,3,6484.81,27.655744979421144,20.241302366607503,0,-16.04288515756516,2024110010147,5.626554605477992,12.077704574803812,124.0,<25% en Q4
7972,Instituto Distrital para la Protección de la Niñez y la Juventud,FORTALECIMIENTO DE LA INFRAESTRUCTURA TECNOLÓGICA Y DE COM,1,19905.72,13.5,18.533717946399324,0,-30.198630136986303,2024110010040,7.402336054959766,10.416085236303756,78.0,<25% en Q4
7975,Secretaría Distrital de Movilidad,IMPLEMENTACIÓN DE ACCIONES PARA UNA MOVILIDAD SOSTENIBLE  ,11,130350.78,18.47788662944709,9.665082172887647,0,-25.220743507539208,2024110010099,5.610620470742559,13.974728363129802,201.0,<25% en Q4
7977,Secretaría Distrital de Ambiente,FORTALECIMIENTO DE LA CAPACIDAD EN LA GESTIÓN LEGAL AMBIEN,2,3033.27,26.728204215252845,22.15595710240104,0,-16.970425921733458,2024110010084,1.4627745852039435,0.0,24.0,<25% en Q4
7978,Veeduría Distrital,CONTROL SOCIAL PARA LA PROMOCIÓN DE LA CULTURA DE INTEGRID,3,3683.62,16.027647555035742,30.221629809806657,0,-27.67098258195056,2024110010031,8.342758278384665,37.1925162930316,36.0,25-50%
7979,Instituto Distrital de las Artes,CONSOLIDACIÓN DE PROCESOS CREATIVOS  INNOVADORES  INCLUYEN,5,70772.54,23.59505797667822,35.287457536496504,0,-20.103572160308083,2024110010088,7.680909777134873,42.531997816848666,133.0,25-50%
7980,Secretaría Distrital de Movilidad,IMPLEMENTACIÓN DE INTERVENCIONES INTEGRALES DE CULTURA  CO,3,36390.8,19.89877067683773,15.076887564988953,0,-23.799859460148568,2024110010096,8.118468187586974,38.041820598286094,136.0,25-50%
7981,Veeduría Distrital,FORTALECIMIENTO DE CAPACIDADES INSTITUCIONALES Y TECNOLÓGI,7,2778.03,25.912127178852163,16.149573618715422,5,-17.78650295813414,2024110010046,5.583363521075473,18.86978875106821,26.0,<25% en Q4
7982,Secretaría Distrital de Movilidad,MEJORAMIENTO Y MANTENIMIENTO DE LOS SERVICIOS DE TI ASOCIA,3,127277.68,21.55460669946701,12.11294077641893,0,-22.14402343751929,2024110010095,8.922665064292389,53.7048482107074,68.0,50-75%
7983,Secretaría Distrital de Gobierno,FORTALECIMIENTO DE LA GESTIÓN POLICIVA EN BOGOTÁ D.C.,4,23207.94,19.33776457539963,22.37643668503107,0,-24.360865561586674,2024110010069,4.7707140840083015,10.310501024783724,309.0,<25% en Q4
7986,Secretaría Distrital de Hacienda,MEJORAMIENTO DE LOS INGRESOS TRIBUTARIOS BOGOTÁ D.C.,2,27990.0,24.30782172222518,24.51918542336549,0,-19.39080841476112,2024110010106,5.087783607354946,4.716111656709609,11.0,<25% en Q4
7988,Secretaría Distrital de Gobierno,FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL Y DE LOS ACT,2,5118.43,27.033354832438853,5.140248083885098,1,-16.66527530454745,2024110010110,5.156719516008745,1.8136573996672913,175.0,<25% en Q4
7990,"Secretaría Distrital de Cultura, Recreación y Deporte",ASISTENCIA TÉCNICA PARA EL DESARROLLO DE INFRAESTRUCTURAS ,4,171696.44,43.5551373480058,12.108719318816394,0,-0.1434927889805024,2024110010123,8.966622539448915,51.591524582794605,72.0,50-75%
7991,"Secretaría Distrital de Cultura, Recreación y Deporte",INNOVACIÓN Y CAMBIO CULTURAL PARA LA TRANSFORMACIÓN DE COM,2,21825.76,6.992632765136242,17.55723512033487,0,-36.70599737185006,2024110010122,6.497103038496806,10.49513167267085,171.0,<25% en Q4
7992,Jardín Botánico José Celestino Mutis,CONSOLIDACIÓN DE LAS COBERTURAS VEGETALES COMO ESTRATEGIA ,5,27158.26,17.810124313447293,17.107502468862144,0,-25.88850582353901,2024110010004,5.2745833670690585,2.80624732048594,941.0,<25% en Q4
7996,Secretaría Distrital de Movilidad,FORTALECIMIENTO DEL PROGRAMA NIÑAS Y NIÑOS PRIMERO PARA ME,4,72464.51,20.90079051773628,17.27767151119907,0,-22.797839619250023,2024110010116,2.36599513838946,4.702602107870919,632.0,<25% en Q4
7997,Instituto Distrital de las Artes,GENERACIÓN DE CONTENIDOS DIGITALES DE EXPERIENCIAS Y FORMA,2,2084.09,24.53233203882168,34.186623418374445,0,-19.166298098164624,2024110010092,4.374359542718181,7.252251511250968,30.0,<25% en Q4
7998,Secretaría Distrital de Movilidad,FORTALECIMIENTO DE LA RED DE CICLOINFRAESTRUCTURA EN LA CI,2,6098.95,22.06659351980571,21.853597750432453,0,-21.632036617180592,2024110010114,3.9662041566909765,16.808503267282326,37.0,<25% en Q4
8000,Secretaría Distrital de Movilidad,FORTALECIMIENTO DEL SISTEMA DE SEÑALIZACIÓN PARA LA MOVILI,3,274776.17,35.74084601579348,17.69331015859199,0,-7.957784121192823,2024110010124,2.242355648170913,4.9624367363402655,232.0,<25% en Q4
8001,Secretaría Distrital de Movilidad,CONSOLIDACIÓN DE LAS INTERVENCIONES EN EL ESPACIO PÚBLICO ,7,282695.85000000003,17.456612856796085,8.689766758160758,1,-26.24201728019022,2024110010127,4.517107900800625,2.1790616490146686,688.0,<25% en Q4
8002,Instituto Distrital de las Artes,CONSOLIDACIÓN DE LA RED DE ESCENARIOS CULTURALES EN BOGOTÁ,1,83063.06,20.022346368715084,32.892082232462904,0,-23.67628376827122,2024110010087,5.671792315960723,21.005620859748326,326.0,<25% en Q4
8004,Secretaría Distrital de Gobierno,IMPLEMENTACIÓN DE LA ESTRATEGIA DE PARTICIPACIÓN CIUDADANA,2,4054.79,9.409263118435232,15.3023954384814,0,-34.28936701855107,2024110010145,7.062151509571164,38.91952427577057,61.0,25-50%
8007,Secretaría Distrital de Ambiente,FORTALECIMIENTO INSTITUCIONAL PARA LA GESTIÓN AMBIENTAL BO,9,35825.4,7.967091253691514,8.808610650544027,1,-35.73153888329479,2024110010048,10.51351417807953,93.97872981838546,69.0,>75% en Q4
8009,Secretaría Distrital de Movilidad,FORTALECIMIENTO DE LAS INTERVENCIONES DE CONTROL Y PREVENC,2,198304.51,19.90575534767887,11.417138218389486,0,-23.792874789307437,2024110010125,7.738434998655258,43.12856297038402,166.0,25-50%
