CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo
7525,Empresa de Renovación y Desarrollo Urbano,IMPLEMENTACIÓN DE UN PORTAFOLIO DE VIVIENDA PARA BOGOTÁ D.,1,38114.37,0.0,17.207840507399176,1,-43.6986301369863
7528,Empresa de Renovación y Desarrollo Urbano,FORMULACIÓN GESTIÓN Y ESTRUCTURACIÓN DE PROYECTOS DE DESAR,2,66074.15,17.981669079360085,23.89973991341546,0,-25.716961057626218
7530,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DE LA INFRAESTRUCTURA PARA LA PRESTACIÓN DE S,10,745616.7999999999,5.212259638328157,12.546167146448418,5,-38.48637049865815
7531,Empresa Metro de Bogotá S.A.,IMPLEMENTACIÓN DEL PROGRAMA DE CULTURA CIUDADANA PARA LA R,3,23363.35,17.333484975399507,1.0715929008468392,2,-26.365145161586796
7532,Empresa Metro de Bogotá S.A.,FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL EN EL MARCO ,7,17040.260000000002,15.916516684604577,9.073042312734664,6,-27.782113452381726
7533,Empresa de Acueducto y Alcantarillado de Bogotá,RENOVACIÓN DE LA INFRAESTRUCTURA PARA LA PRESTACIÓN DE SER,8,1113698.5499999998,44.34926668968648,25.362148491618314,2,0.6506365527001776
7534,Empresa Metro de Bogotá S.A.,ELABORACIÓN DE LOS ESTUDIOS Y DISEÑOS A NIVEL DE FACTIBILI,2,78266.62999999999,6.690800222265863,0.0,1,-37.00782991472044
7535,Empresa de Acueducto y Alcantarillado de Bogotá,IMPLEMENTACIÓN DE ACCIONES PARA EL SANEAMIENTO DEL RÍO BOG,1,666464.3,0.0,6.744032651111245,1,-43.6986301369863
7536,Lotería de Bogotá,IMPLEMENTACIÓN PROGRAMA DE BENEFICIOS ECONÓMICOS PERIÓDICO,2,706.9000000000001,24.96675625972556,11.25901824869147,1,-18.731873877260742
7537,Empresa de Acueducto y Alcantarillado de Bogotá,MEJORAMIENTO HIDRÁULICO Y RECUPERACIÓN AMBIENTAL DE HUMEDA,3,169949.46,24.78394563034162,8.501003769002855,0,-18.914684506644683
7538,Empresa de Acueducto y Alcantarillado de Bogotá,IMPLEMENTACIÓN DE ACCIONES PARA EL FORTALECIMIENTO ADMINIS,1,488317.98,7.407407407407407,2.7226030055252113,0,-36.2912227295789
7539,Canal Capital,INCREMENTO DE LA CAPACIDAD INSTALADA PARA LA PRODUCCIÓN Y ,3,35858.119999999995,21.705819522550655,27.878817963685773,0,-21.992810614435648
7542,Secretaría Distrital de Hacienda,FORTALECIMIENTO DE LOS CRITERIOS DE CALIDAD DEL GASTO PARA,4,4018.1,0.0,0.0,4,-43.6986301369863
7546,Empresa de Renovación y Desarrollo Urbano,IMPLEMENTACIÓN TITULARIZACIÓN DE IMPUESTO FUTURO DE PREDIA,2,0.0,0.0,0.0,2,-43.6986301369863
