cod_localidad,localidad,anio,mes_corte,vigente,comprometido,girado,giro_mes,compromiso_mes,giro_diciembre,giro_q4,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
4,San Cristóbal,2025,12,222437.19263,221851.300743,112308.43865600001,11443.254845000003,20981.198965999996,11443.254845000003,28786.42525700001,99.73660345193504,50.489955087148054,50.62329509895544,10.189131806961198,25.631578180133584,True
4,San Cristóbal,2026,5,237233.342087,163797.20000399998,57644.641897,13181.800670000004,4322.154036999971,,,69.04476350711741,24.298710033710236,35.19269065380379,,,False
5,Usme,2024,12,191785.668452,182434.473468,103541.01042,8619.560259000005,36509.90344300002,8619.560259000005,38413.050885000004,95.1241429771691,53.9878768083832,56.755178147929186,8.324778968290856,37.0993587267332,True
5,Usme,2025,12,206034.505145,202678.530245,110374.684139,11854.662073,54287.039262000006,11854.662073,30564.992758000008,98.37115880292082,53.570970581515994,54.45800500209761,10.740381424848174,27.692031915133803,True
5,Usme,2026,5,219387.134106,126238.48992300002,31274.57864,6627.244122,397.5854130000225,,,57.54142805020011,14.255429684809704,24.77420211464517,,,False
6,Tunjuelito,2024,12,83047.831573,83044.10429,52931.963271,5412.224763999999,14616.427087000004,5412.224763999999,14891.984374,99.99551188401985,63.73671927179964,63.739579978074325,10.2248706255058,28.134199930874125,True
6,Tunjuelito,2025,12,90292.817747,89012.262806,53760.101883,6372.796398999999,16671.771527999997,6372.796398999999,11878.772876000003,98.58177541364574,59.53973220066687,60.396287194910215,11.854137503067495,22.095889814071025,True
6,Tunjuelito,2026,5,88886.242923,49943.80248,13237.786207,3471.990067999999,-302.6415710000001,,,56.188450358133714,14.892952803132395,26.505363127489286,,,False
7,Bosa,2024,12,241797.06065499998,238976.03399,100926.476963,9046.505896999995,82382.261367,9046.505896999995,34413.57917499999,98.83330812320128,41.740158747009566,42.23288640199933,8.963461491196682,34.09767209809189,True
7,Bosa,2025,12,296156.146675,294908.13539999997,134776.958547,18152.444569999978,29929.85091499996,18152.444569999978,39709.073633999986,99.5785968689113,45.508749374330364,45.70133623617899,13.46850735147713,29.462805855017475,True
